transaction_id,store_id,store_location,register_id,cashier_id,customer_id,transaction_time,payment_method,product_sku,quantity,unit_price,total_amount,status
TXN-9642303,STR-042,Chicago,2,1727,331498,2026-04-27T23:34:21,credit_card,SKU-10012,4,3.49,13.96,completed
TXN-4531552,STR-043,Buffalo,4,1138,553155,2026-05-07T16:06:11,credit_card,SKU-10015,4,3.75,15,completed
TXN-6793379,STR-044,Los Angeles,5,1792,699789,2026-04-22T17:04:02,credit_card,SKU-10044,4,1.5,6,completed
TXN-9643847,STR-042,Chicago,4,1580,210540,2026-04-27T00:15:41,credit_card,SKU-10039,4,299,1196,completed
TXN-6261348,STR-044,Los Angeles,3,1019,436591,2026-05-03T05:02:48,credit_card,SKU-10041,4,24,96,completed
TXN-2461475,STR-046,Birmingham,4,1911,841593,2026-05-02T07:15:37,debit_card,SKU-10044,2,1.5,3,completed
TXN-7885646,STR-045,Denver,3,1218,337866,2026-04-25T01:34:17,debit_card,SKU-10031,2,349,698,completed
TXN-4100885,STR-042,Chicago,6,1076,891343,2026-05-01T08:47:18,credit_card,SKU-10015,3,3.75,11.25,completed
TXN-7135503,STR-045,Denver,1,1885,221186,2026-05-11T14:55:56,cash,SKU-10008,1,4.25,4.25,completed
TXN-2875625,STR-045,Denver,4,1158,303329,2026-04-25T08:47:40,debit_card,SKU-10036,5,6.99,34.95,completed
TXN-1890860,STR-042,Chicago,3,1587,124817,2026-05-11T15:23:41,credit_card,SKU-10013,2,4.25,8.5,completed
TXN-9609431,STR-046,Birmingham,6,1767,999656,2026-05-03T14:51:56,debit_card,SKU-10012,1,3.49,3.49,completed
TXN-8135911,STR-042,Chicago,3,1825,189165,2026-05-07T15:43:05,debit_card,SKU-10044,5,1.5,7.5,completed
TXN-2600545,STR-046,Birmingham,2,1657,264922,2026-04-28T18:10:08,debit_card,SKU-10026,4,89,356,completed
TXN-9398193,STR-042,Chicago,2,1352,749214,2026-05-07T08:06:49,debit_card,SKU-10010,2,7.5,15,completed
TXN-2409031,STR-042,Chicago,6,1670,401624,2026-05-11T12:45:18,cash,SKU-10004,1,99,99,completed
TXN-8688057,STR-043,Buffalo,4,1850,964056,2026-05-10T08:27:24,credit_card,SKU-10044,4,1.5,6,completed
TXN-1814917,STR-045,Denver,3,1711,914975,2026-04-21T05:50:14,credit_card,SKU-10032,5,159,795,completed
TXN-3113507,STR-042,Chicago,3,1407,553155,2026-05-06T02:00:46,debit_card,SKU-10040,3,599,1797,completed
TXN-5711578,STR-046,Birmingham,6,1023,809088,2026-05-08T10:49:50,credit_card,SKU-10007,4,1.75,7,completed
TXN-8795779,STR-043,Buffalo,3,1897,841593,2026-04-23T10:42:19,credit_card,SKU-10014,2,5.5,11,completed
TXN-2512330,STR-043,Buffalo,1,1797,955654,2026-04-14T17:33:21,cash,SKU-10031,1,349,349,completed
TXN-5014158,STR-043,Buffalo,1,1287,900473,2026-04-29T09:17:46,credit_card,SKU-10037,5,89,445,completed
TXN-1084184,STR-045,Denver,1,1902,622962,2026-04-27T11:18:41,debit_card,SKU-10023,4,4,16,completed
